name_family,family_summary
Genie,"A unique type of genie exists for each Elemental Plane, and the bodies of genies are formed out of elemental matter corresponding to their native plane: djinn are formed from wind, clouds, and storms; efreet are fire made flesh; marids are beings of water; and shaitans are composed of metal, gems, and stone. Lastly, the jann are formed out of all four elements, and are the weakest of geniekind. Genie Nobles Genie nobles with titles unique to their kind (as detailed in each sidebar) rule genie society. Genie nobles are generally at least 5 levels higher than a typical example of their kind. In addition to the increased statistics afforded by their higher levels, genie nobles gain additional spells. But the most wondrous (and notorious) of a genie noble’s powers is their ability to grant wishes. Any genie noble (save for jann, who lack this power) can grant a mortal or undead creature up to three wishes within a year’s time. Many unscrupulous creatures compel genie nobles to serve them, tricking them or entrapping them with magic. However, once a genie noble grants a third wish to a single creature, they are freed from service to that creature forever."
Laborers,"Every day, laborers perform backbreaking physical work."
House Spirit,"House spirits are shy, often helpful, sometimes wrathful fey that dwell alongside peasants and farmers. They reside in the house, in the yard, in the granary, in the bathhouse—wherever people build and live. Due to this proximity, house spirits often take on the mannerisms or appearance of nearby mortals. Their reclusive nature and tendency to go unseen earned them the moniker of “spirits,” though in truth they are fully embodied fey. House spirits take an almost parental interest in “their” mortals. Given proper respect, these fey work tirelessly for their charges—they chop wood, care for livestock, mend clothes, sweep the floor, and tend to the stove. If offended, though, the house spirit becomes a menace, frightening animals or children and ruining belongings."
Agathion,"These celestial outsiders hail from Nirvana, the plane of purest good. Agathions are born from the souls of mortals who attained the enlightenment they sought in life, sometimes even after death. Because they all start out as mortals who were rewarded for their determination, self-awareness, and purity of heart, agathions are more likely than other celestials to intervene in working nonviolently against the spread of evil on the material plane. Agathions have served as moderators between the chaotic azatas and lawful archons, so they know how vital communication with mortals can be to bridge differences and ensure that evil doesn't win out. All agathions possess animal-like aspects, some appear more anthropomorphic, while others spend most of their time in forms nearly indistinguishable from true animals. Still others prefer to shapeshift as they see fit, or present as humanoid when in the company of humanoid mortals. Each type of agathion serves a specific role in Nirvana. Their duties and forms generally reflect the core values they cultivated in life that led them to their enlightenment. Since agathions receive their animal forms as rewards for their mortal lives, they take great insult with insinuations that they're merely magical talking beasts or—even worse—that their forms are a curse or punishment. "
Deadly Puffball,Many benign puffball fungi cling to the detritus of forest floors in Darklands caverns. These fungi's giant versions are more mobile and dangerous.
Sprite,"Elusive, flighty, and ebullient, sprites are what many villagers first imagine when they hear the terms “fey” or “fairy.” While their dispositions vary from the benevolent grig to the trickster pixie, all sprites share a connection to magic and diminutive size. This family of fey shares its name with its slightest and most populous member, the common sprite."
Spider,Few everyday vermin inspire as much dread as the infamous spider.
Fleshwarp,"Some creatures, notably drow, are not happy with merely killing their enemies. They revel in the total degradation of their foes through the horrifying transformative technique known as fleshwarping. Though the fleshwarping process was not created by the drow, many believe they perfected it. The drow torture their enemies in vats of churning magical reagents, reshaping their flesh and psyche alike into horrid and monstrous things. The reconstitution of flesh results in countless variations of fleshwarps, and the following are just a couple of examples of these horrors.Although twisting victims into horrid shapes is a well-known pastime of evil drow, other subterranean monsters have stolen these practices or developed them independently. The worm-like seugathis sometimes warp other creatures whose territories abut their lightless lands; the fleshwarps below result from morlocks and urdefhans, respectively."
Drow,"The first drow were elves who fled into the depths of the world from a devastating cataclysm thousands of years ago. In their journey below, they fell to bickering and in-fighting, drawing the attention of sinister intelligences beyond their own. Whether it was the influence of a specific demon lord, the Rough Beast Rovagug, or some other fell force is unknown, but in that time the elves transformed both spiritually and physically, tainting their hearts with desires for cruelty, sadism, and violence. The hues of their eyes became sinister red or bleached white, and their flesh adopted an unearthly lavender sheen that made the drow instantly recognizable. The drow also developed potent magical abilities and resistances that further empowered them, if at the cost of their souls. Over the centuries to follow, the drow developed into a powerful, if violently dysfunctional society, influenced by the worship of demon lords and focused on providing power and glory to a relatively small collection of noble houses. Many of these noble houses are matriarchal in nature and all hold allegiance to a specific demon lord patron—but traditions of worship, warfare, and wizardry help to bind the oft-bickering houses together enough that drow society doesn’t simply consume itself from within. Fear of earning the wrath of one’s superior—be it a teacher, a parent, a commander, or the demon one worships—is the real bond holding drow society together, and this system is held in esteem by the lowliest drow servant and by the most powerful drow priestess alike. The drow are infamous throughout the world, but until recently most assumed stories of demon-worshipping, underground-dwelling elves were spooky legends crafted to share around a campfire. Today, the existence of drow is an understood truth, and while their presence in the dark caverns deep below is unsettling, they seem content to leave the surface world alone for now."
Nymph,"Nymphs are a family of fey that take the form of beautiful humanoids with elven features and have a deep association with the natural world. The most common of their kind are the dryads, which are spirits that embody great trees, but many other kinds of nymphs exist, including naiads, who watch over bodies of water. All nymphs are guardians of some element of nature, typically a specific tree or pond, or even—in the case of nymph queens—whole forests or massive bodies of water. Nymph Queens Nymph queens are powerful nymphs that rule over entire regions of untouched wilderness, not just single trees or ponds. Every variety of nymph can have a queen. Naiad queens are among the most prominent, and more often interact with nearby mortals. Thus, some scholars refer to naiad queens as simply “nymphs.” Nymph Queen Abilities A nymph queen is 6 to 10 levels higher than an ordinary nymph of the same type, with enhanced numerical statistics and improved Strikes to match. A nymph queen’s ward is a significant region, and she strengthens and vivifies this territory with her presence. Nymph queens are not dependent on their wards and lose the corresponding ability (such as a dryad’s tree dependent ability); instead, they gain the tied to the land ability, as described below. A nymph queen also gains the nymph’s beauty aura and the Focus Beauty action, which have varying effects based on the queen’s original type. She gains the Inspiration ability, allowing her to bestow a gift of inspiration on those who catch her fancy, and the Change Shape ability to change her form. Finally, she gains primal prepared spells as a druid of her level. Change Shape  [one-action]  (polymorph, primal, transmutation) Nymph queens can transform between their original form, which looks much like a typical nymph of their kind, and any Small or Medium humanoid form, typically choosing a more humanoid-looking version of their natural form. Focus Beauty  [one-action]  (emotion, enchantment, mental, primal, visual) The nymph queen focuses her beauty upon a target within her aura. The creature must attempt a Will save. On a failure, it is affected as if by the nymph queen’s nymph’s beauty aura; if it was already affected by the aura, it suffers a greater effect described in the nymph queen’s entry. A nymph queen can Focus Beauty on a given creature only once per turn. Inspiration  [three-actions]  (emotion, enchantment, mental, primal) A nymph queen can inspire a single intelligent creature by giving that creature a token of her favor, typically a lock of her hair. As long as the creature carries her token and remains in good standing with the nymph queen, the creature gains a +1 status bonus to all Crafting checks, Performance checks, and Will saves. If a nymph queen grants her Inspiration to a bard and the nymph queen is that bard’s muse, the bard gains an additional benefit depending on their muse theme: for lore muse, the bard also gains a +1 status bonus to all Lore checks; for maestro muse, the status bonus to Performance checks increases to +2 for the purpose of determining the effects of compositions; for polymath muse, the bard gains a +4 status bonus to untrained skill checks; and for all other muses, the Will save bonus increases to +2 against fey. Nymph’s Beauty (aura, emotion, enchantment, mental, primal, visual) 30 feet. Creatures that start their turn in the aura must succeed at a Will save or suffer an effect described in the nymph queen’s entry. Tied to the Land A nymph queen is intrinsically tied to a specific region, such as a forest for a dryad queen. As long as the queen is healthy, the environment is exceptionally resilient, allowing the nymph queen to automatically attempt to counteract spells and rituals such as blight that would harm the environment, using her Spell DC with a counteract level equal to the highest-level druid spell she can cast. When the nymph queen becomes physically or psychologically unhealthy, however, her warded region eventually becomes twisted or unhealthy as well. In that case, restoring the nymph queen swiftly heals the entire region."
Duergar,"Deep beneath the surface, duergars stubbornly claim the ancestral subterranean homelands of the dwarves as their own, having refused to venture to the surface along with their modern dwarven cousins. An exiled dwarven deity named Droskar offered duergars salvation from the horrors of the Darklands, and in exchange duergars endlessly toil in his honor within their subterranean empire. Notorious slavers, duergars regularly raid other Darklands settlements as well as surface communities in constant search of living beings to task with endless amounts of work in their harsh and exhausting settlements. Duergars are gray-skinned creatures, often referred to as “ashen” by those surface dwarves willing to speak of them. These subterranean dwarves have a strong natural connection with cave-dwelling vermin, and it’s common to see duergar caravans drawn by teams of immense beetles. Most duergars devote themselves to the worship of Droskar, a taskmaster of a god who demands back-breaking toil in addition to regular prayer. Duergar leadership often consists of powerful divine servants of Droskar, along with incredibly stout warriors whose martial prowess ensures they can overcome any direct threat to their rule. Almost every aspect of duergar society is controlled by a strict hierarchy of leadership, with taskmasters directing subordinates across all walks of life."
Solifugid,"Giant solifugids are monstrous vermin with six legs and two large feeding appendages easily mistaken for an additional pair of legs. They are often called camel spiders, sun spiders, or wind scorpions, despite the fact that they are neither spiders nor scorpions."
Eagle,"These large birds of prey swoop down from incredible heights to snatch fish and small mammals in their powerful talons. Eagles nest atop high trees or steep cliffs that provide a commanding view of the surrounding area. They avoid nesting too near civilization, but some remote cultures train eagles as hunting companions."
Sphinx,"Sphinxes are a family of mystical beings that combine leonine, avian, and usually humanoid features. Though the most common sphinxes are famous on their own merits, the family includes other types of sphinxes as well."
Elder Thing,"Known by various names on various worlds, but most often as “elder things” or “old ones,” these alien creatures are interested in creating lasting works of art, architecture, and even life (such as the legendary and dreaded shoggoth). Matched with their boundless capacity for egotism and enormous life spans, elder things often see themselves as the most learned and advanced species on any planet they visit, and tend to treat most other forms of life like a scientist might treat experimental stock. While not generally inimical or violent, their nature often puts them at odds against other societies they encounter, and war is a time-honored solution. The elder things rarely shy away from using violence to secure their own territory and their perceived right to experiment and explore. A typical elder thing is 6 feet tall from head to foot, with a 7-foot wingspan. Their bodies are radial in nature, with five wings, five tentacle-like arms that each end in a writhing nest of tendrils, and five eyestalks. At one end of their barrel-shaped bodies are several larger tentacles they use for combat and locomotion, while at the other, at the center of their five eyes in their starfish-shaped heads, sits a single mouth surrounded by multicolored cilia. An elder thing's language is a mix of piping and whistling sounds, but they can vocalize a wide range of other languages as well—albeit with a strange, high-pitched accent."
Wyrmwraith,Wyrmwraiths rise from the souls of dragons who refuse to accept death or have an irrational fear of the afterlife.
Eel,"Although these long, narrow fish share similarities in appearance, eels are a diverse group of creatures."
Elk,"Powerful and swift land mammals, elk range through the plains, hills, and forests of the wilderness."
Dragonfly,"Dragonflies hunt with a combination of agile power and deadly speed. In their early life stages these insects are entirely aquatic predators, but they take to the air once they’ve molted. Most live around bodies of water suitable for spawning, but giant dragonflies have been known to fly many miles when on the hunt. Though their gossamer wings and colorful bodies are beautiful at first glance, an unwary adventurer lured in by the display runs a very real risk of becoming lunch."
Sahkil,"Dreadful creatures that stoke mortal fears, sahkils lurk on the Ethereal Plane where they slip into nightmares or dark places of the world to torment the living 
"
Harrowkin,"When a harrow deck becomes infused with great magical power, it can produce a harrowkin. Harrowkin Abilities Each harrowkin is connected one specific harrow suit and has the following shared abilities. Defensive Suit When the harrowkin attempts a saving throw connected to its suit—that is, Fortitude (Hammers or Shields), Reflex (Keys or Books), or Will (Stars or Crowns)—if they roll a success, they get a critical success instead. Read the Cards  [free-action]  (divination, occult) Trigger The harrowkin is about to roll initiative; Effect The harrowkin attempts to rewrite destiny. Roll 1d6 to determine a suit. The harrowkin gains the effects of the suit for 1 minute. If the suit matches the harrowkin's suit, the value is doubled. Hammers The harrowkin gains a +2 status bonus to damage rolls.Keys The harrowkin gains a +1 status bonus to AC.Shields The harrowkin gains fast healing 5.Books The harrowkin gains a +1 status bonus to skill checks.Stars The harrowkin gains a +1 status bonus to saving throws.Crown The harrowkin can reroll 1 check within the next minute and take the higher result. This is a fortune effect. Shuffle the Deck  [free-action]  (divination, occult) Frequency once per day; Requirements The harrowkin has rolled initiative; Effect At the end of the current round, all creatures currently in initiative reroll their initiative, using the same modifiers as their original initiative roll, and use the new initiative values for all following rounds."
Facetbound,"Inspired by the work of the Azlanti and their obsessions with aeon stones, certain necromancers strive to tap into those curious magical items to create undead with powerful abilities. A facetbound is created from a living being with an aeon stone surgically attached to their skull who is killed in a specific, secret ritual. Each facetbound must bear a single aeon stone, and this stone determines the powers the facetbound wields (in place of the normal powers of the implanted stone)."
Fox,"Elusive and shrewd, foxes have gained a reputation as sly tricksters, earning them a place in many folk tales."
Herexen,"A herexen is an undead heretic, driven by hate to destroy the deity they once served. Herexens choose their faith willingly in life, rising to become respected religious figures within their church. Shortly before or during their death, they lose faith in their chosen deity so completely they become a full heretic, blaspheming, committing atrocities, and cursing their god. These anathemic acts bind their soul to their flesh, causing them to rise as cursed beings. To a herexen, faith is the ultimate lie. Although the circumstances that drive a pious worshipper to break with their faith are varied, herexens are unified in purpose. Herexens spend their existence fighting their former god in every manner they can, destroying iconography and temples, slaying worshippers, banding together with other herexens who oppose the same deity, conscripting lesser undead, and hiring living proxies to wreak havoc or spread misinformation. A particularly motivated herexen may even plot to kill or unseat the deity they once revered. Curiously, herexens maintain a corrupted form of their divine powers after death, wielding the weapons and magic of their past faith to tear it down."
Mosquito,"While the common mosquito is a pest capable of spreading deadly diseases, their giant kin and the ravenous clouds of mosquito swarms are even more dangerous."
Fetch,"A fetch is a twisted, deviant simulacrum of a humanoid creature that exists or existed at one point on the Material Plane. Rumors of fetches that are reflections of entities from other planes persist, but none of these tales speak of fetches that duplicate anything other than a sapient source. A fetch can manifest spontaneously when a powerful creature undergoes a significant emotional event or dies, either while on the First World or while in an area significantly influenced by the First World, but one can also be created by significant forces like the Eldest in order to torment and vex those who have annoyed them. While a fetch manifests from a soul's “reflection,” and as such bears a striking resemblance to that creature's appearance in life, a fetch has no true memories of its own. It keeps fragments of false remembrances from its source as if it experienced them in a half-remembered dream—which ensure the fetch is enraged by and jealous of its source. A fetch is similar in appearance to the creature whose soul spawned it, save that it often displays fey-like features such as pointed ears, plantlike elements, or supernatural grace. A fetch who seeks to impersonate a still-living source must disguise these features, and takes care to manifest its fetch weapon as one known to be wielded by its target. When a fetch dies, it and its manifested items fades away into a bloom of plant life, its soul instantly recycled into the First World, leaving behind a patch of weeds and thorny flowers roughly in the shape they held in mockery while alive."
Fetchling,"The people known today as fetchlings are a distinct ancestry descended from generations of humans who became trapped ages ago on the Shadow Plane. No longer human at all, these people, who call themselves kayals, have become monochromatic in coloration, with flesh tones and hair colors varying between white, black, and all shades of gray. Their limbs are lithe and willowy, and their eyes are generally solid yellow, yellow-green, or white, though a rare few have a purple or blue glow. Fetchlings have developed their own complex societies in the Shadow Plane, often under the tolerance of or in servitude to the strange, malignant creatures there, such as the sinister velstracs or the enigmatic d’ziriaks. While individual fetchlings can be any alignment, they are all survivors in a harsh environment, which leads to a tendency toward pragmatism. Fetchling clothing mimics the regions they dwell in, with drab colors tending toward darker shades. When they trade with humans or other societies on the Material Plane, they often wear masks or concealing clothing to hide their appearance. Typical fetchling communities are insular and swiftly close ranks in the event of an intruder. Though individual fetchlings don’t mind traveling to and blending in with other societies to facilitate trade, they often hide or even react defensively if they have their own visitors. When one considers the nature of the other denizens of the Shadow Plane, however, this tendency to assume the worst of interlopers might make sense to some. Fetchlings are not as common on the Material Plane; most of those who dwell there are loners by choice who have left their home to seek out adventure elsewhere, exiles who were banished from their homelands, or planar castaways with no ability to return to the Shadow Plane. This last category, the lost and stranded, are the most likely to be found in larger groups. In cities of significant size, one can sometimes even find a small community of a few dozen or more fetchlings living among humans, although they often do so subtly by dyeing their hair, wearing brightly colored clothing, and utilizing layers of makeup to hide their pallid complexions."
Jellyfish,"Many varieties of jellyfish drift through the world’s oceans, feeding on fish and other tiny marine creatures. However, deadly species of monstrous jellyfish pose a threat to unwary swimmers and sailors alike. Note that while jellyfish are animals, they also have the mindless trait because they lack a centralized nervous system."
Oni,"Not all divine creations are meant to live as mortals. Some spirits are created as guardians instead, tasked as protectors of elements of nature that cannot protect themselves. When these spirits accept their divine place in the metacosmos and take on such charges, they become kami. But some of these spirits are willful, obstinate, or simply rotten, railing against such demands from the gods and becoming bodiless and unable to interact with the world they can torturously still observe. Others receive such punishment simply for failing at their duty, and their despair at their condition twists them like those that began with a seed of darkness. When these spirits look upon mortal lives and become overcome with envy of the flesh and pleasure that humanoids can revel in, they form surrogate bodies of their own and become monsters known collectively as oni. When an oni manifests, they always do so in a form that parodies a specific humanoid ancestry closely associated with the oni's obsessions and envies. Giants' over-the-top personalities and sizes are likely the reason why these humanoids are the most common incarnations chosen by oni; such oni are known collectively as yai oni. Yet there exist oni associated with almost every kind of humanoid. Most oni are capable of supernaturally disguising themselves as their associated humanoid type and use this ability to infiltrate societies and seize control from within. Once established, oni typically reveal their true form and revel in dominating those they view as lesser beings fit only to serve their whims. Oni are nothing if not vain. They typically choose comely or striking appearances in their humanoid disguises—forms that are completely at odds with the ugliness of their true natures. An oni's true form is indicative of their innermost desires and always has features such as oversized teeth that verge into tusks, sharp claws, unusually bright skin colors, or a third eye in the forehead. Oni have desires as varied as those of any being, though by their nature these desires are almost always for hedonistic or destructive experiences of the flesh, typically food, pleasure, or violence."
Beetle,"Not all beetles are harmless creatures that can be easily crushed underfoot. Oversized and ravenous giant beetles can be found throughout the temperate and tropical regions of the world. They are often benign creatures, though when threatened or roused, giant beetles are quite dangerous. Their powerful mandibles and tough exoskeletons make for a challenging combatant."
Flea,"Fleas are little more than a nuisance in most circumstances, but can be lethal when they grow to monstrous proportions or gather in enormous swarms."
Formian,"Formians resemble unusually large ants with an insectile humanoid's upper torso. More powerful or influential formians are physically larger; common formian workers are roughly the height of a gnome, while the largest formians, such as taskmasters and queens, rival a giant in size. Formian society is a strict matriarchy. Though each hive's queen is theoretically independent and her rule absolute, allegiances are common, and less powerful hives often (grudgingly) defer to more powerful matriarchs."
Gremlin,"Gremlins are cruel fey tricksters and saboteurs who have fully acclimated to life on the Material Plane, finding distinct niches for their inventive destructiveness. All gremlins delight in ruining or breaking things, whether it’s something physical like a device or vehicle or something intangible such as an alliance or relationship. A gremlin’s greatest joy is watching the collapse of complex creations, preferably after the lightest and slightest, carefully targeted push from the gremlin. Gremlins tend to denigrate, bully, or even slaughter their lesser kin, particularly mitflits, whom gremlins (and many others) derisively call “mites.”"
Gathlain,"Gathlains have made a name for themselves as inquisitive and mischievous, as well as flighty and distractable. These eccentric little fey want nothing more than to explore the many wonders of the world for their own pleasure. Born of magical trees in seed pods that float hundreds of miles on the wind, gathlains are a bizarre mix of flesh and flora. Sprigs of mistletoe bloom from their back and form a delicate pair of wings. They enjoy adorning themselves with oddities found on their journeys, such as beads, pieces of fine cloth, and bits of armor. The fey see these accessories as trophies, proof of their travels, and mementos of their adventures. The typical gathlain is only 2 feet tall, but their small size doesn't deter them from seeking out and exploring potentially dangerous places. They sometimes even use their size to their advantage, squeezing through tight spaces that most would never be able to fit through. Moreover, their vine-laced wings let them reach heights many adventurers would find daunting. These traits have made them celebrated explorers whose presence is welcome in a group of travelers—so long as everyone is prepared for their nigh-endless questions. A conversation with a gathlain can feel more like an interrogation, as they care little for the comfort of others if it means they will learn something new and interesting to add to their range of knowledge. Gathlains are particularly fond of gnomes, as they feel a sort of familial attachment to their exiled fey kin, and attempt to ingratiate themselves with any gnomes they run across. Gnomes don't always return this affection and many tend to distrust gathlains, due to the smaller creatures' gossipy and flighty nature."
Ghoran,"Ghorans are sentient plants who grow in the shape of humanoids. A ghoran's body is composed of one large seed encased in rich vegetable tissue covered with dense, green rinds. In place of a face ghorans sport a bouquet of vividly colored flower petals with gaps and ridges suggesting facial features, which they can shift to express emotion. Magically created to be a delicious and nutritious food source that could adapt to hazardous environments, ghorans evolved to develop sentience, speech, and ambulatory bodies that could mimic humanoid forms and behavior to discourage predation. Ghorans find the concept of gender confounding, though some display visual gender cues to put humanoids at ease or leverage societal expectations to their own advantage."
Ghost,"When some mortals die through tragic circumstances or without closure, they can linger on in the world. These anguished souls haunt a locale significant to them in life, constantly trying to right their perceived wrong or wrongdoings."
Aukashungi,"These massive isopods are native to the Abyssal realm of Gluttondark, in the acidic oceans of the realm’s many cavern-worlds. Aukashungis are sometimes summoned to the Material Plane by Zevgavizeb-worshipping cultists, who favor aukashungis for their mindless obedience and sheer destructive potential."
Bat,"A wide range of bats dwell throughout the world. Most of these nocturnal animals are harmless insectivores, but deadly breeds of vampire bats and oversized bats the size of horses pose much more significant threats to adventurers."
Crab,"Crabs are scavenging crustaceans known for their hard shells and iconic sideways gait. They use their claws to defend themselves, hunt, and fight other crabs for territory. When confronted with threats from outside their species, most crabs prefer to flee, but when retreat isn't possible, they clamp on to their foes as tightly as they can.  Hermit crabs have hard exoskeletons like other crabs, but with much weaker abdomens. They find and “wear” shells as homes and protection, getting around with their front legs and claws. Surprisingly fierce, hermit crabs fight for new shells as they grow bigger, using an assortment of hollow alternatives as substitutes when shells of the right size can't be found."
Fly,"Giant flies are pony-sized insects that have massive compound eyes and bodies bristling with short, stiff hairs. Their lairs are notorious for the rotting meat they stockpile to lay their eggs into. Their maggot-dens are also prime breeding grounds for virulent diseases."
Squirrel,"Squirrels' ability to dart into sticky situations, extract berries or nuts from the most precarious of circumstances, and then hide their loot from prying eyes make them nature's thieves in trees. Their cute appearance—soft fur, big eyes, and fluffy tails—makes them inconspicuous and endearing, at least to some. Their reputation among humanoids is split between those who consider them cute little creatures and others who believe they're vermin. Usually no more than a nuisance on their own, they can become a dangerous annoyance under the command of a druid, fey, or other creature that practices nature magic or is otherwise tied to the natural world. With their ability to reach remote places, excellent eyesight, and adept problem-solving, squirrels can perform effective reconnaissance for druids."
Flytrap,Flytraps are dangerous creatures as eager to feed on humanoids and larger prey as they are monstrous insects.
Frog,Frogs that are poisonous or grow to monstrous size can be a menace to adventurers.
Hippocampus,"The strange beasts known as hippocampi resemble terrestrial horses from head to midbody, but on their legs, they have splayed fins instead of hooves, and in place of horses’ hindquarters, they have powerful tails resembling those of fish. Hippocampi have colorful scales ranging from pearly white to seaweed green, and brilliant ribbed dorsal sails as manes. In the wild oceans, most types of hippocampi tend to congregate in the shallows near the beds of seaweed and kelp forests that provide them with food and shelter from predators. They form huge schools to provide safety in numbers, like land-bound horses form herds. Hippocampi are highly prized by undersea societies and surface dwellers alike, as they are as easy to train as horses and serve many of the same functions, be that as beasts of burden, war-trained mounts, transportation, or as pets. Though hippocampi are able to wear barding, it hampers them considerably, so most handlers outfit them with the lightest options available. More often they are trained to pull specially designed underwater chariots or sleds. Hippocampi do not to leave the water, as they are clumsy on land, can’t bear riders while flopping about on the ground, and can’t breathe air for long. Numerous variant species of hippocampi exist, although most of them differ from the common hippocampus only in coloration. Heartier species, such as polar hippocampi, dwell exclusively in arctic waters and are best presented as hippocampi with elite adjustments."
Giant Bee,"Like their smaller counterparts, giant bees are highly territorial. Many types of giant bees construct hives in caves or abandoned buildings and are quick to attack creatures that they deem a threat to the single fertile queen, who almost never leaves the hive. Although most common in warm biomes with lots of vegetation, some giant bees live in arid or cold environments and are solitary rather than hive-dwelling."
Opossum,Few creatures have survived as long and in as many environments as the opossum. 
Rat,"Rats are a ubiquitous menace, scurrying through the sewers and on the streets of nearly every settlement the world over. Though a regular rat darting underfoot might startle or even frighten the average passerby, giant rats and rat swarms are far more dangerous."
Silverfish,"A common pest with a silvery carapace and an undulating, fishlike scuttle, the nocturnal silverfish infests homes and libraries throughout Golarion. These insects aren't typically dangerous, but their tendency to devour books and clothing often puts them at odds with larger creatures."
Skunk,"With their distinctive black bodies and white stripes or spots, skunks are instantly recognizable to most creatures. Those who catch a full blast of musk rarely decide to trouble a skunk again, as the revolting stench can linger for hours or even days. Removing the odor is difficult, typically requiring the aid of alchemy or magic."
Turtle,"These generally mild-mannered and docile creatures prefer to be left alone, but the ill-tempered snapping turtle is a notably violent exception to this rule."
Squid,"The unusual shape of these swift, voracious predators has prompted many a nautical tale."
Tick,"These blood-sucking parasites are common vectors for disease and other infections. Ticks infest all parts of the world, save for the most remote and frigid locales, and have evolved to feed on just about every kind of creature."
Toad,Nethys Note: no description has been provided for this family
Wasp,"While the common wasp poses little threat to a hardy adventurer aside from an uncomfortable sting, a large and aggressive swarm of these territorial insects—to say nothing of their oversized kin—can lay low an entire party of heroes. The wasps represented here are of the common variety also known as yellowjackets, but many other sorts of dangerous wasps exist, such as a Garundi variant that swarms in such great numbers that it can decimate entire villages, and the dreaded extraplanar hellwasps, which build their nests within the corpses of their victims."
Wolverine,Few creatures in the natural world can compare in ferocity to an angry wolverine.
Gibtas,"This rubbery, spheroid scavenger is nearly all acid-dripping mouth, with five bulbous black eyes and two powerful, gangly legs. A gibtas often forms a bond with a single other creature—usually, a more powerful aberration— and serves this master loyally, if erratically. Creatures who keep a gibtas as a pet or guard soon learn to keep it away from any important possessions they don't want spattered with acid."
Girtablilu,"Girtablilus are desert-dwelling guardians with the upper bodies of muscular humanoids and the lower bodies of massive scorpions. They are most often found defending ancient temples and religious artifacts with zealous fervor. Some believe they were created by a long-dead god millennia ago to act as guardians, but girtablilus consider the subject of their origin taboo and refuse to address the theory. Because girtablilus accept a wide range of religions and belief systems, some outsiders believe they also worship their own ancient pantheon. Instead, girtablilus exclusively revere and protect sites dedicated to deities considered lost to civilization. In this way, they act as preservers of holy practices that have otherwise been forgotten beneath the desert's shifting sands. Though girtablilus are used to explorers seeking entrance to the sites they defend, they might welcome those who earnestly wish to learn or offer reverence. A few even proudly share their beliefs with others, eager for the opportunity to preach to someone new. But girtablilus show no mercy to those who attempt to desecrate the sites and objects of their worship, or to those who would violate the tenets of their faith. Girtablilus are skilled fighters who keep trained giant scorpions as pets, and they remain unmatched when it comes to fighting in the desert. They require relatively little food or water, and they rely on their stamina to outlast their enemies. When necessary, they can stalk their quarry for days or even weeks, coordinating with their pets to drive their prey in circles. Once exhausted, few foes can stand up to a girtablilu's physical prowess—or their deadly venom."
Gnoll,"Gnolls are short, hyena-headed humanoids who dwell in warm grasslands, savannas, and arid hills. Given their appearance, their affinity for hyenas should not be surprising; gnolls share their homes, food, and even many of their own behaviors with these animals. Much like hyenas, gnolls have a notorious reputation—they are known as bloodthirsty gluttons and slavers who worship demons or other reprehensible powers. Though these rumors are often true, the behavior of gnoll clans varies widely. Some groups are composed of capable hunters who rarely clash with other humanoids unless there is a conflict over territory. Others hew closer to the unsavory stories, preferring to raid settlements and enslave innocents, snatching the fruits of others' hard labor by strength of arms and forcing their victims to perform the hard, demeaning labor necessary to maintain the brutal clan. Gnolls lack any particular reverence for the remains of the dead, which adds to their reputation as scavengers or even cannibals. They willingly eat nearly any other creature, including dead gnolls, which can evoke strong reactions from people and cultures with a strong taboo against cannibalism or desecrating the dead. To a gnoll, it is almost more offensive to not eat a dead body, no matter its origin; gnolls see no point in wasting precious meat in a harsh and challenging world. Worse still is the refusal to eat the flesh of a dead gnoll, which they consider an insult to that gnoll's memory and sacrifice and an implication that the gnoll's flesh is unworthy of consumption. In fact, they refuse to eat the bodies of particularly hated foes; particularly warmongering gnolls even spike the bodies or heads of such despised enemies on tall spears, which they place around their tribal holdings to dishonor the dead and intimidate would-be invaders. Gnoll women are far stronger and more aggressive than gnoll men and are typically considered the leaders of their hunting packs and clans. Though gnolls tend to be disorganized when it comes to practical matters or negotiations, they are extremely efficient at working together to hunt down prey or overwhelm a group of foes. Much like hyenas, they prefer to hunt in packs, and are exceptionally skilled at setting up ambushes or separating individual targets from larger groups."
Goblin,"These small humanoids have green or gray skin and large heads with wide ears. While some goblins are civilized and have worked hard to be considered upstanding members of humanoid communities, most are impetuous and vicious creatures who delight in wreaking havoc. These goblins think nothing of slaughtering livestock, stealing infants, or burning down a building purely for momentary delight. They revel in playing malicious tricks on taller humanoids, whom they call “longshanks.” Goblins are superstitious, with an intense awe of magic and a fascination with fire; goblins who master magic or fire earn great respect from their kin. Most other humanoids find it difficult to understand goblins’ outlook: they hate canines but eagerly share their lairs with so-called “goblin dogs,” they fearlessly attack larger creatures but are terrified of horses, and they despise vegetables yet consider pickles a delicacy. To a goblin, of course, these are all perfectly sensible life choices."
Ape,"While many apes exhibit peaceful or reclusive behavior, gorillas can be territorial, and the megaprimatus is especially aggressive and dangerous."
Graveknight,"When a fearsome combatant falls in battle, the warrior's vengeful spirit can sometimes fuse with their armor, creating a graveknight. Every graveknight is born of a unique warrior and has a unique fighting style and array of abilities that speak to their techniques in life."
