|Name|Creature family|Source|Rarity|Size|Alignment|Trait|Level|Hp|Ac|Fortitude|Reflex|Will|Perception|Sense|Speed|
|[Living Wildfire](https://2e.aonprd.com/Monsters.aspx?ID=188)|[Elemental, Fire](https://2e.aonprd.com/MonsterFamilies.aspx?ID=43)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 148|Common|Medium|N|[Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72)|5|80 (explosion)|22|+11|+15|+10|+10|darkvision, smoke vision|50 feet|
|[Living-Sun Spire](https://2e.aonprd.com/Monsters.aspx?ID=1706)||[Pathfinder #172: Secrets of the Temple City](https://2e.aonprd.com/Sources.aspx?ID=102) pg. 57|Common|Gargantuan|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108)|13|200|36|+29|+19|+17|+21|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|20 feet|
|[Lizardfolk Defender](https://2e.aonprd.com/Monsters.aspx?ID=291)|[Lizardfolk](https://2e.aonprd.com/MonsterFamilies.aspx?ID=71)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 230|Common|Medium|N|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Lizardfolk](https://2e.aonprd.com/Traits.aspx?ID=226)|1|21|16|+8|+7|+5|+7||25 feet, swim 15 feet|
|[Lizardfolk Scout](https://2e.aonprd.com/Monsters.aspx?ID=292)|[Lizardfolk](https://2e.aonprd.com/MonsterFamilies.aspx?ID=71)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 231|Common|Medium|N|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Lizardfolk](https://2e.aonprd.com/Traits.aspx?ID=226)|1|17|17|+6|+8|+6|+8||25 feet, swim 20 feet|
|[Lizardfolk Stargazer](https://2e.aonprd.com/Monsters.aspx?ID=293)|[Lizardfolk](https://2e.aonprd.com/MonsterFamilies.aspx?ID=71)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 231|Common|Medium|N|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Lizardfolk](https://2e.aonprd.com/Traits.aspx?ID=226)|2|30|17|+7|+6|+10|+8||25 feet, swim 20 feet|
|[Lizardfolk Warrior](https://2e.aonprd.com/Monsters.aspx?ID=2271)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 139|Uncommon|Medium|CN|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Lizardfolk](https://2e.aonprd.com/Traits.aspx?ID=226), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|2|36|17|+9|+8|+7|+7||25 feet, swim 15 feet|
|[Llorona](https://2e.aonprd.com/Monsters.aspx?ID=1879)||[Book of the Dead](https://2e.aonprd.com/Sources.aspx?ID=118) pg. 125|Common|Medium|NE|[Incorporeal](https://2e.aonprd.com/Traits.aspx?ID=222), [Spirit](https://2e.aonprd.com/Traits.aspx?ID=149), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|12|165 ( negative healing , rejuvenation)|32|+19|+23|+20|+20|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|fly 60 feet|
|[Loblobi](https://2e.aonprd.com/Monsters.aspx?ID=1758)||[Pathfinder #175: Broken Tusk Moon](https://2e.aonprd.com/Sources.aspx?ID=112) pg. 85|Uncommon|Small|CE|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|1|25|16|+4|+9|+8|+6|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|20 feet, fly 30 feet|
|[Locathah Hunter](https://2e.aonprd.com/Monsters.aspx?ID=1223)|[Locathah](https://2e.aonprd.com/MonsterFamilies.aspx?ID=281)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 164|Common|Medium|N|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Locathah](https://2e.aonprd.com/Traits.aspx?ID=356)|3|38|20|+7|+10|+9|+9|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|10 feet, swim 40 feet; smooth swimmer|
|[Logger](https://2e.aonprd.com/NPCs.aspx?ID=2229)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 71|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|0|20|13|+8|+5|+6|+6||25 feet|
|[Lomori Sprout](https://2e.aonprd.com/Monsters.aspx?ID=2684)||[Rage of Elements](https://2e.aonprd.com/Sources.aspx?ID=205) pg. 215|Rare|Tiny||[Aeon](https://2e.aonprd.com/Traits.aspx?ID=208), [Plant](https://2e.aonprd.com/Traits.aspx?ID=125), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Wood](https://2e.aonprd.com/Traits.aspx?ID=508)|3|50|17|+6|+11|+8|+9|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, climb 20 feet|
|[Long-Horned Bison](https://2e.aonprd.com/Monsters.aspx?ID=1773)||[Pathfinder #176: Lost Mammoth Valley](https://2e.aonprd.com/Sources.aspx?ID=113) pg. 83|Common|Huge|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|6|110|23|+17|+12|+12|+13|[scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|35 feet|
|[Long-Horned Bison Beheaded](https://2e.aonprd.com/Monsters.aspx?ID=1779)||[Pathfinder #176: Lost Mammoth Valley](https://2e.aonprd.com/Sources.aspx?ID=113) pg. 15|Uncommon|Medium|NE|[Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|2|32 ( negative healing )|18|+7|+10|+5|+7|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|15 feet, fly 30 feet|
|[Lophiithu](https://2e.aonprd.com/Monsters.aspx?ID=1415)||[Pathfinder #168: King of the Mountain](https://2e.aonprd.com/Sources.aspx?ID=87) pg. 83|Uncommon|Gargantuan|NE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|21|400|43|+30|+36|+38|+38|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|10 feet, swim 80 feet|
|[Love Siktempora](https://2e.aonprd.com/Monsters.aspx?ID=1296)|[Siktempora](https://2e.aonprd.com/MonsterFamilies.aspx?ID=259)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 233|Rare|Medium|NG|[Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Siktempora](https://2e.aonprd.com/Traits.aspx?ID=372), [Time](https://2e.aonprd.com/Traits.aspx?ID=313)|16|210|38|+25|+31|+28|+28|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|50 feet; [_air walk_](https://2e.aonprd.com/Spells.aspx?ID=6)|
|[Lovelorn](https://2e.aonprd.com/Monsters.aspx?ID=1224)||[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 165|Uncommon|Tiny|CE|[Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Undead](https://2e.aonprd.com/Traits.aspx?ID=160)|4|60 ( negative healing )|21|+9|+13|+12|+10|(12 to [Sense Motive](https://2e.aonprd.com/Actions.aspx?ID=85)) [darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [lifesense](https://2e.aonprd.com/MonsterAbilities.aspx?ID=21) 30 feet|25 feet, climb 25 feet|
|[Luminous Ooze](https://2e.aonprd.com/Monsters.aspx?ID=504)||[Pathfinder #151: The Show Must Go On](https://2e.aonprd.com/Sources.aspx?ID=21) pg. 85|Common|Small|N|[Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Ooze](https://2e.aonprd.com/Traits.aspx?ID=122)|4|80|11|+11|+3|+6|+6|motion sense 60 feet, no vision|25 feet, climb 15 feet|
|[Lunar Naga](https://2e.aonprd.com/Monsters.aspx?ID=736)|[Naga](https://2e.aonprd.com/MonsterFamilies.aspx?ID=75)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 178<br><br>2.0|Uncommon|Large|N|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|6|100|24|+15|+16|+17|+16|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Lurker In Light](https://2e.aonprd.com/Monsters.aspx?ID=726)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 169<br><br>2.0|Common|Small|NE|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69)|5|72|22|+9|+14|+13|+13|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|25 feet, fly 25 feet|
|[Lusca](https://2e.aonprd.com/Monsters.aspx?ID=1010)||[Pathfinder #161: Belly of the Black Whale](https://2e.aonprd.com/Sources.aspx?ID=51) pg. 83|Uncommon|Gargantuan|CE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|17|320|40|+32|+26|+29|+31|blood scent, [darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 100 feet|10 feet, swim 50 feet|
|[Lyrakien](https://2e.aonprd.com/Monsters.aspx?ID=34)|[Azata](https://2e.aonprd.com/MonsterFamilies.aspx?ID=10)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 30|Common|Tiny|CG|[Azata](https://2e.aonprd.com/Traits.aspx?ID=17), [Celestial](https://2e.aonprd.com/Traits.aspx?ID=23)|1|25|17|+4|+7|+6|+8|darkvision|25 feet, fly 50 feet|
|[Lyrma Swampwalker](https://2e.aonprd.com/NPCs.aspx?ID=2480)||[Pathfinder #157: Devil at the Dreaming Palace](https://2e.aonprd.com/Sources.aspx?ID=45) pg. 54|Common|Small|CG|[Gnome](https://2e.aonprd.com/Traits.aspx?ID=80), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|2|38 (currently 30)|14|+7|+10|+9|+11|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|25 feet|
|[Maalya](https://2e.aonprd.com/NPCs.aspx?ID=1503)||[Pathfinder #167: Ready? Fight!](https://2e.aonprd.com/Sources.aspx?ID=86) pg. 40|Rare|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|15|275|37|+25|+28|+21|+21||25 feet|
|[Maftet Guardian](https://2e.aonprd.com/Monsters.aspx?ID=1225)|[Maftet](https://2e.aonprd.com/MonsterFamilies.aspx?ID=246)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 166|Common|Medium|N|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|6|92|23|+14|+15|+12|+14|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, fly 40 feet|
|[Mage for Hire](https://2e.aonprd.com/NPCs.aspx?ID=922)|[Mercenaries](https://2e.aonprd.com/MonsterFamilies.aspx?ID=190)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 226|Common|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|3|31|17|+8|+9|+10|+7||25 feet|
|[Mage of Many Styles](https://2e.aonprd.com/NPCs.aspx?ID=1453)||[Pathfinder #166: Despair on Danger Island](https://2e.aonprd.com/Sources.aspx?ID=85) pg. 25|Uncommon|Medium|N|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|13|220|32|+22|+23|+21|+22||25 feet|
|[Magma Scorpion](https://2e.aonprd.com/Monsters.aspx?ID=658)|[Elemental, Fire](https://2e.aonprd.com/MonsterFamilies.aspx?ID=43)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 111<br><br>2.0|Common|Large|N|[Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72)|8|155|28|+19|+14|+16|+18|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), smoke vision|40 feet, climb 30 feet|
|[Maharaja](https://2e.aonprd.com/Monsters.aspx?ID=1272)|[Rakshasa](https://2e.aonprd.com/MonsterFamilies.aspx?ID=85)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 211|Rare|Medium|LE|[Fiend](https://2e.aonprd.com/Traits.aspx?ID=70), [Rakshasa](https://2e.aonprd.com/Traits.aspx?ID=233), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|20|320|45|+31|+33|+35|+37|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|40 feet, fly 30 feet|
|[Mammoth](https://2e.aonprd.com/Monsters.aspx?ID=202)|[Elephant](https://2e.aonprd.com/MonsterFamilies.aspx?ID=46)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 154|Common|Huge|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|10|190|29|+21|+15|+18|+18|low-light vision, scent (imprecise) 30 feet|45 feet|
|[Mammoth Turtle](https://2e.aonprd.com/Monsters.aspx?ID=1458)||[Pathfinder #166: Despair on Danger Island](https://2e.aonprd.com/Sources.aspx?ID=85) pg. 31|Rare|Gargantuan|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|14|270|36|+26|+22|+26|+24|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|20 feet, swim 50 feet|
|[Manananggal](https://2e.aonprd.com/Monsters.aspx?ID=1399)||[Pathfinder #166: Despair on Danger Island](https://2e.aonprd.com/Sources.aspx?ID=85) pg. 87|Common|Medium|CE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Tanggal](https://2e.aonprd.com/Traits.aspx?ID=366)|8|180|26|+14|+17|+19|+16|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet (or fly 80 feet when body is separated)|
|[Mandragora](https://2e.aonprd.com/Monsters.aspx?ID=727)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 170<br><br>2.0|Common|Small|CE|[Plant](https://2e.aonprd.com/Traits.aspx?ID=125)|4|60|21|+11|+13|+8|+11|blood scent, [low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|30 feet, burrow 10 feet, climb 30 feet|
|[Mandragora Swarm](https://2e.aonprd.com/Monsters.aspx?ID=2345)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 430|Rare|Large|CE|[Plant](https://2e.aonprd.com/Traits.aspx?ID=125), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Swarm](https://2e.aonprd.com/Traits.aspx?ID=239)|18|230 ( fast healing 15)|42|+30|+34|+28|+30|blood scent, [low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|30 feet, burrow 10 feet, climb 30 feet|
|[Manta Ray](https://2e.aonprd.com/Monsters.aspx?ID=786)|[Ray](https://2e.aonprd.com/MonsterFamilies.aspx?ID=149)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 226<br><br>2.0|Common|Large|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168)|1|24|16|+6|+9|+6|+6|electrolocation (imprecise) 30 feet, [low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|swim 40 feet|
|[Manticore](https://2e.aonprd.com/Monsters.aspx?ID=294)||[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 232|Common|Large|LE|[Beast](https://2e.aonprd.com/Traits.aspx?ID=20)|6|90|23|+16|+12|+12|+14|darkvision, scent (imprecise) 30 feet|25 feet, fly 40 feet|
|[Manticore Paaridar](https://2e.aonprd.com/Monsters.aspx?ID=1259)|[Paaridar](https://2e.aonprd.com/MonsterFamilies.aspx?ID=254)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 198|Uncommon|Medium|LE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Paaridar](https://2e.aonprd.com/Traits.aspx?ID=360), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|7|110|26|+14|+18|+16|+18|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|40 feet, fly 20 feet (limited flight)|
|[Marid](https://2e.aonprd.com/Monsters.aspx?ID=215)|[Genie](https://2e.aonprd.com/MonsterFamilies.aspx?ID=50)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 165|Uncommon|Large|CN|[Elemental](https://2e.aonprd.com/Traits.aspx?ID=57), [Genie](https://2e.aonprd.com/Traits.aspx?ID=216), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159), [Water](https://2e.aonprd.com/Traits.aspx?ID=165)|9|145|28|+18|+21|+17|+18|darkvision, [_detect alignment_](https://2e.aonprd.com/Spells.aspx?ID=65), [_detect magic_](https://2e.aonprd.com/Spells.aspx?ID=66), wavesense (imprecise) 60 feet|20 feet, swim 40 feet|
|[Marilith](https://2e.aonprd.com/Monsters.aspx?ID=103)|[Demon](https://2e.aonprd.com/MonsterFamilies.aspx?ID=28)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 81|Common|Large|CE|[Demon](https://2e.aonprd.com/Traits.aspx?ID=42), [Fiend](https://2e.aonprd.com/Traits.aspx?ID=70)|17|380|40|+31|+29|+27|+30|darkvision, [_true seeing_](https://2e.aonprd.com/Spells.aspx?ID=344)|40 feet, fly 40 feet (from [_fly_](https://2e.aonprd.com/Spells.aspx?ID=125))|
|[Marrmora](https://2e.aonprd.com/Monsters.aspx?ID=728)||[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 171<br><br>2.0|Common|Medium|NE|[Fey](https://2e.aonprd.com/Traits.aspx?ID=69), [Fire](https://2e.aonprd.com/Traits.aspx?ID=72)|15|280|37|+29|+25|+27|+27|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|30 feet, fly 30 feet|
|[Marsh Giant](https://2e.aonprd.com/Monsters.aspx?ID=679)|[Giant](https://2e.aonprd.com/MonsterFamilies.aspx?ID=53)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 125<br><br>2.0|Common|Large|CE|[Amphibious](https://2e.aonprd.com/Traits.aspx?ID=207), [Giant](https://2e.aonprd.com/Traits.aspx?ID=79), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|8|150|27|+18|+13|+17|+16|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23)|35 feet, swim 20 feet|
|[Marut](https://2e.aonprd.com/Monsters.aspx?ID=538)|[Aeon](https://2e.aonprd.com/MonsterFamilies.aspx?ID=2)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 10<br><br>2.0|Common|Large|LN|[Aeon](https://2e.aonprd.com/Traits.aspx?ID=208), [Inevitable](https://2e.aonprd.com/Traits.aspx?ID=223), [Monitor](https://2e.aonprd.com/Traits.aspx?ID=111)|15|230|37|+27|+25|+26|+26|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12), [_true seeing_](https://2e.aonprd.com/Spells.aspx?ID=344)|25 feet; [_air walk_](https://2e.aonprd.com/Spells.aspx?ID=6)|
|[Master Xun](https://2e.aonprd.com/NPCs.aspx?ID=1482)||[Pathfinder #167: Ready? Fight!](https://2e.aonprd.com/Sources.aspx?ID=86) pg. 23|Rare|Medium|LE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137)|14|250|36|+26|+24|+23|+25||25 feet, climb 15 feet|
|[Mastermind](https://2e.aonprd.com/NPCs.aspx?ID=960)|[Villains](https://2e.aonprd.com/MonsterFamilies.aspx?ID=198)|[Gamemastery Guide](https://2e.aonprd.com/Sources.aspx?ID=22) pg. 246|Common|Medium|NE|[Human](https://2e.aonprd.com/Traits.aspx?ID=90), [Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|4|54|21|+6|+11|+16|+10||25 feet|
|[Mastiff Of Tindalos](https://2e.aonprd.com/Monsters.aspx?ID=2343)||[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 416|Rare|Medium|NE|[Aberration](https://2e.aonprd.com/Traits.aspx?ID=1), [Evil](https://2e.aonprd.com/Traits.aspx?ID=64), [Rare](https://2e.aonprd.com/Traits.aspx?ID=137), [Time](https://2e.aonprd.com/Traits.aspx?ID=313)|15|210|37|+23|+29|+27|+29|[greater darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|30 feet, fly 30 feet|
|[Mastodon](https://2e.aonprd.com/Monsters.aspx?ID=668)|[Elephant](https://2e.aonprd.com/MonsterFamilies.aspx?ID=46)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 116<br><br>2.0|Common|Huge|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|9|175|26|+20|+13|+17|+17|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent (imprecise) 30 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|45 feet|
|[Meat Guardian](https://2e.aonprd.com/Monsters.aspx?ID=2064)||[Pathfinder #182: Graveclaw](https://2e.aonprd.com/Sources.aspx?ID=143) pg. 34|Uncommon|Medium|NE|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Divine](https://2e.aonprd.com/Traits.aspx?ID=48), [Golem](https://2e.aonprd.com/Traits.aspx?ID=220), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|5|60|20|+14|+9|+11|+7|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Mechanical Carny](https://2e.aonprd.com/Monsters.aspx?ID=505)||[Pathfinder #151: The Show Must Go On](https://2e.aonprd.com/Sources.aspx?ID=21) pg. 86|Common|Medium|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108)|2|33|17|+8|+11|+4|+6|low-light vision|25 feet|
|[Mechanical Laborer](https://2e.aonprd.com/Monsters.aspx?ID=2065)||[Pathfinder #182: Graveclaw](https://2e.aonprd.com/Sources.aspx?ID=143) pg. 41|Uncommon|Large|N|[Construct](https://2e.aonprd.com/Traits.aspx?ID=35), [Earth](https://2e.aonprd.com/Traits.aspx?ID=55), [Mindless](https://2e.aonprd.com/Traits.aspx?ID=108), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|5|55|22|+15|+10|+8|+11|[darkvision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=12)|25 feet|
|[Medusa](https://2e.aonprd.com/Monsters.aspx?ID=297)||[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 234|Common|Medium|LE|[Humanoid](https://2e.aonprd.com/Traits.aspx?ID=91)|7|105|25|+15|+16|+14|+16|darkvision|25 feet|
|[Megalania](https://2e.aonprd.com/Monsters.aspx?ID=725)|[Lizard](https://2e.aonprd.com/MonsterFamilies.aspx?ID=70)|[Bestiary 2](https://2e.aonprd.com/Sources.aspx?ID=32) pg. 168<br><br>2.0|Common|Huge|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|7|125|25|+17|+15|+13|+15|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent (imprecise) 60 feet](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33)|25 feet, swim 25 feet|
|[Megalictis](https://2e.aonprd.com/Monsters.aspx?ID=1365)|[Weasel](https://2e.aonprd.com/MonsterFamilies.aspx?ID=277)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 291|Common|Medium|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|3|42|19|+8|+11|+6|+10|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|25 feet|
|[Megaloceros](https://2e.aonprd.com/Monsters.aspx?ID=2202)|[Elk](https://2e.aonprd.com/MonsterFamilies.aspx?ID=301)|[Kingmaker Adventure Path](https://2e.aonprd.com/Sources.aspx?ID=150) pg. 608, [Pathfinder #176: Lost Mammoth Valley](https://2e.aonprd.com/Sources.aspx?ID=113) pg. 85|Uncommon|Large|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|4|58|21|+13|+11|+8|+10|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 30 feet|50 feet|
|[Megalodon](https://2e.aonprd.com/Monsters.aspx?ID=366)|[Shark](https://2e.aonprd.com/MonsterFamilies.aspx?ID=90)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 291|Uncommon|Gargantuan|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9), [Aquatic](https://2e.aonprd.com/Traits.aspx?ID=168), [Uncommon](https://2e.aonprd.com/Traits.aspx?ID=159)|9|180|27|+21|+16|+17|+20|blood scent, scent (imprecise) 100 feet|swim 80 feet|
|[Megaprimatus](https://2e.aonprd.com/Monsters.aspx?ID=26)|[Ape](https://2e.aonprd.com/MonsterFamilies.aspx?ID=6)|[Bestiary](https://2e.aonprd.com/Sources.aspx?ID=2) pg. 23|Common|Gargantuan|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|8|150|26|+19|+16|+13|+15|low-light vision, scent (imprecise) 30 feet|30 feet, climb 30 feet|
|[Megatherium](https://2e.aonprd.com/Monsters.aspx?ID=1314)|[Sloth](https://2e.aonprd.com/MonsterFamilies.aspx?ID=263)|[Bestiary 3](https://2e.aonprd.com/Sources.aspx?ID=66) pg. 248|Common|Huge|N|[Animal](https://2e.aonprd.com/Traits.aspx?ID=9)|5|85|21|+15|+9|+11|+13|[low-light vision](https://2e.aonprd.com/MonsterAbilities.aspx?ID=23), [scent](https://2e.aonprd.com/MonsterAbilities.aspx?ID=33) (imprecise) 60 feet|30 feet, climb 10 feet|
