name,creature_summary,name_family,level
Ofalth,"Found in castle dung heaps, city dumps, and sewers, ofalths are thought to be cousins of shamblers. But whereas shamblers are living heaps of soggy vegetation, ofalths are living heaps of matter from an altogether more unpleasant source: these monsters look like 9-foot-tall amalgamations of wet detritus, sewage, and rubbish with long tentacular arms and stout legs. It can be difficult to tell where an ofalth’s body ends and the foul contents of the cesspit they wallow within begins. They move through refuse heaps in search of organic material in their endless quest to sate their hunger. Though ofalths have a limited intellect, they still exhibit a vile curiosity. They are no strangers to dissecting their prey after it has succumbed to their wasting disease—a terrible and aptly named affliction that causes the victim’s blood to seep from its pores. When an ofalth manages to secure a victim alive, it may even torture its food by consuming it bit by bit while it shrieks for mercy. Ofalths’ domains typically overlap with those of otyughs, who fear ofalths, though otyughs have also been known to band together in order to take down an ofalth for its rubbery flesh, which the otyughs consider an intoxicating delicacy. On the other hand, ofalths seem to particularly enjoy taking otyughs apart one piece at a time. They have been known to keep a captured otyugh alive for days or even weeks, forcing the otyugh to endure the cloying scent of its own body decaying before the ofalth feeds.",,10
Ogre Boss,"In ogre society, might makes more than right—it makes the rules. The strongest or most violent ogre in a family (in most cases, this is the same ogre) is invariably that family’s boss. Quick to hook fallen foes on their weapons, even other ogres fear the repercussions of displeasing an ogre boss. When an ogre boss barks out commands, the other members of the family move quickly to obey.",Ogre,7
Ogre Glutton,"Ogre gluttons take the act of feeding to a horrific extreme, capable of extending their already cavernous mouths wide enough to gulp down a halfling. Stories of ogre gluttons being tricked into eating razor-edged shields or barrels filled with poisoned meat are common, but such tales are of little consolation to those who have been gobbled down whole by these ravenous giants. In addition to their sadistic table manners, ogre gluttons have a disturbing knack for coming up with violent “games” that are little more than drawn-out torments, yet those who somehow manage to beat a glutton at the rules of its own game can often enrage and frustrate the ogre enough that the resulting tantrum is more than enough distraction to afford a last-ditch escape from doom.",Ogre,4
Ogre Spider,"These terrifying creatures grow as large as elephants. The placement of their eyes above their wide mandibles evokes the grimacing visage of an ogre's leer. Ogres themselves find the appearance of ogre spider faces simultaneously amusing and adorable, but in most cases, ogres' attempts to keep these spiders as pets result in dead ogres and well-fed spiders.",Spider,5
Ogre Warrior,"The simplest of ogres are slabs of muscle with hatefully beady eyes, misshapen visages, and malformed bodies. Always eager for mayhem and murder, ogre warriors are quick to turn on their kin when there’s a shortage of smaller folk to torment, so those who lead ogres do their best to keep them constantly distracted with new opportunities for raids and ruin.",Ogre,3
Oil Living Graffiti,"A living graffiti is a painting or drawing that has come to life by magic. These two-dimensional beings can move along any flat surface they touch, including walls, floors, furniture, doors, and even bodies of still water. They can't exist apart from the surfaces they traverse except in brief bursts, which they typically use to harass or attack nearby creatures. They exhibit a mischievous nature and desire to make the real world as much of a caricature as their own two-dimensional domain.",Living Symbol,3
Olethrodaemon,"Even daemons fear the most massive and terrifying of their kind, olethrodaemons. No single entity could embody the level of evil necessary to manifest one; instead, these living war machines are made from the souls of many—or so the story goes. Other theories suggest that the four Horsemen of the Apocalypse are responsible for creating the olethrodaemons, or that olethrodaemons are merely the seeping run-off of an even greater being: a mysterious fifth Horseman.Whatever the truth, olethrodaemons are real, and their existence is terrifying enough to instill paralyzing existential dread. With dozens of unblinking glowing eyes above a drooling maw, two sets of four muscled limbs, and countless horns, olethrodaemons resemble no other creature known to mortalkind.",Daemon,20
Olobigonde,"Though the Plane of Water is mostly liquid, it does contain its share of solid material, whether in the form of free-floating aquatic plants, hunks of coral, or even detritus from lost underwater cities. Flotsam and jetsam collect across the plane, and olobigondes are just one of the many creatures that have evolved to live among and consume this detritus. These flat, round fish are covered in a moss-like skin that makes them exceptionally difficult to spot as they hug the sides of flotsam, feeding off the waste that drifts into their wide, open mouths. While olobigondes are primarily detritivores, they've been known to lie in wait within a forest of kelp or against a mossy stone to ambush smaller creatures, such as water scamps or lone passing merfolk. The fish launch themselves from their hiding spot to take large bites out of their surprised prey, then grab the victim as it tries to flee. Despite their size and ungainly shape, olobigondes can move quickly in water, though their bursts of speed are usually short-lived. In addition to maintaining a firm hold on prey, olobigondes' mouths are filled with a unique toxin that weakens and decomposes living flesh. The hungry fish easily gulp down the resulting slurry. Ancient olobigondes grow truly immense, and their outward appearance evolves. There seems to be no limit to their size. Their skin even separates into plates with deep channels where water can accumulate, giving them the appearance of an entire patch of detritus rather than one piece.",,2
Omox,"Seemingly made from living, animated filth, omoxes have no true anatomy, although they generally spend most of their time in roughly humanoid shapes, resembling some grim caricatures of half-melted humanoids. While scholars once believed these foul demons to be a pure, concentrated form of the corruption that suffuses the Abyss and its inhabitants, in truth these demons arise from the souls of those who routinely befouled and polluted their surroundings in life.",Demon,12
Onidoshi,"Onidoshi, or ogre mages, are oni with the material form of an ogre. Onidoshi's supernatural prowess and overwhelming intellect are enough to awe and cow entire families of rank-and-file ogres. Because of this, onidoshi are often found at the head of ogre war parties or orchestrating these violent campaigns from behind the scenes. It's rare for onidoshi to lead solitary existences, but those who do prefer to maraud the countryside or exploit villages and hoard the spoils for themselves.",Oni,8
Onryo,"Onryos are created when a person dies violently in the grip of extreme emotion, such as unbridled rage or overwhelming sorrow. These twisted undead return as beings of pure vengeance, seeking to endlessly spread suffering. Onryos torment those who killed them, but not by directly attacking their murderer. Instead, an onryo hunts down the friends, family members, and anyone connected to their foe. In doing so, the onryo inflicts as much torment as possible on the person responsible for their demise. An onryo's vengeful nature persists indefinitely; not even the death of their killer sates their lust for destruction. Vengeance is just a way for them to spread their pain to others, and they quickly find new targets for their ire. Onryos always wear funeral clothing, often dripping wet or covered in filth. Most of them also display wounds or signs indicating how they died. As they move, onryos seem to pop in and out of existence, making them difficult to track in combat.",,12
Ooze Mephit,"Slick in every sense of the word, ooze mephits are unapologetic sycophants, shamelessly flattering anyone they may be able to con a favor out of, although their lack of intelligence and subtlety means that only the most vain or trusting targets fail to see through their honeyed words. Lacking proper bones, these ocher-colored mephits have bodies consisting primarily of ooze and muck. They smell disgusting, and their touch leaves stains that are almost impossible to get out.","Elemental, Mephit",1
Oppali,"An oppali is a tenacious, twisting vine with white, trumpet-shaped flowers that grows in temperate and tropical regions. Stories passed down through generations refer to the oppali as a “bad luck vine” and warn against letting one take over a copse or garden, lest “your luck drain away like water down a hole.” This folklore contains more wisdom than most farmers or settlers realize. Oppalis are usually 30 feet long, but they twist and coil on themselves so much that they occupy a space not much larger than a horse.",,10
Orc Brute,"If orc armies are rarely well organized, this shortcoming can likely be traced to the furious and undisciplined rank-and-file brutes who make up the bulk of an orc warband.",Orc,0
Orc Warchief,"When orcs raid, the strongest is chosen as the leader, backed up by brothers, sisters, and other immediate family.",Orc,2
Orc Warrior,"The typical orc warrior is a violent combatant familiar to many adventurers. Orc warriors fight for their clan, for riches, and— perhaps most of all—for personal glory.",Orc,1
Orca,"While many know orcas as “killer whales,” they are actually the largest species of dolphin. These powerful animals hunt together in pods to take down seals, sharks, and even true whales. Adult orcas are typically 15–25 feet long and weigh 8,000–12,000 pounds.",Dolphin,5
Ore Louse,"Ore lice are six-legged insectile creatures that roost either just beneath or above the water's surface. They're highly territorial toward both strangers and each other, able to detect an intruder through the ripples in the water. Due to their diet, ore lice have incredibly tough chitin that's infused with metal. Cannibalism between ore lice is common when they're unable to locate other prey. Though there are far more suitable environments for ore lice bordering the Plane of Air, the creatures are often found where the Plane of Earth meets the Plane of Water. This was a mystery that puzzled many—until the Plane of Metal returned between the Planes of Earth and Water. Planar researchers realized that ore lice must have hunted here before the planar schism. On the Plane of Metal, ore lice often appear in horror stories chasing down metal elementals and ferociously devouring them. Their connection to Ferrumnestra adds to their infamy.",,5
Oread Guard,"Elemental earth laces through the bones of oreads, who appear similar to stone statues of their mortal ancestry, with delicate crystals in place of hair, fur, or scales. Oreads are stoic and slow to plan but are of steadfast resolve and unwavering in their convictions. The typical oread cherishes quiet seclusion. Yet as they age, many oreads find themselves inexplicably drawn to some far-flung location with a pull like that exerted on the needle of a compass—intangible, constant, and ultimately irresistible. The destination of this mysterious pilgrimage is unique to each oread, though it usually ends in some place of great mystical power, natural splendor, or esoteric learning. Most oreads are drawn to a place with which they are somewhat familiar, but a rare few feel drawn to travel in a seemingly random direction, departing with only their hope that they'll discover whatever mystery lies at the end of their invisible path. Many oreads find that the role of a guard suits their personality well, for in such a role they can feel as if they are helping to promote order but also find time to stand vigil as lone sentinels over a specific portion of a fortification or a remote location on a wilderness trail.",Geniekin,1
Oregorger,"Oregorgers are hulking, four-limbed brutes with bodies of raw primal metals accreted in layers. Driven entirely by an insatiable drive to consume metal, an oregorger stops at nothing to greedily devour as much metal as it can and expel it as caustic rust.","Elemental, Metal",11
Orochi,"An orochi is an enormous serpent with eight heads and eight tails that lives among large waterways. Orochi are vile, amoral creatures kept at bay only with yearly sacrifices. Most settlements unable to satisfy an orochi with a sacrifice soon meet their destruction.",,18
Ostiarius,"Ostiariuses, as emissaries of the velstracs, tend to the portals between the Shadow Plane and the Material Plane. They not only escort other velstracs into the world of mortals, but also work to entice mortals into the realms of the velstracs— from which most mortals never leave. Among the most pleasant and persuasive of the velstracs, ostiariuses are prepared to converse for hours upon any topic, and they are skilled at returning, again and again, to the subject of the delights found in their perverse philosophies. Ostiariuses stand over 6 feet tall, and individuals range from skeletally thin to hugely corpulent.",Velstrac,5
Ostovite,"Skittering scavenger vermin common throughout the Abyss, ostovites roam battlefields to harvest flesh and bones. After the ostovites dissolve and slurp up the flesh for sustenance, they craft the bones into elaborate shells they refer to as “bone chariots.” These bone chariots move under the ostovites' command and serve as an important marker of rank in ostovite nests. To the tiny ostovites, bigger is better, and building large skeletal conveyances is the only way for them to increase their standing in life. Although they feel deeply inferior to creatures larger than themselves, this fear can be overwhelmed by the ostovites' visceral desire to harvest those creatures' bones to increase their own status. When confronted with a particularly massive skeleton, ostovites generally fight among themselves and end up splitting the haul. However, there are rare instances of the selfish creatures working together to puppeteer a much larger bone chariot. Ostovites' faint understanding of anatomy results in bone chariots that look more like a nightmarish attempt at art than any creature the bones were pulled from. Some powerful fiends and their admirers collect this strange art by bribing ostovites with skeletons or finding ways to kill ostovites without disrupting the chariot around them. Despite ostovites' origins in the Abyss, they are neither demons nor qlippoth. Without the protection of the major fiends, they find their homes in nooks and crannies along the corners of their home plane. Though they have no innate ability to cross the planar boundaries, flaws in the Abyss's fabric often lead them to worlds across the planes. Ostovites that have thus migrated are often much happier. Away from demonic abuse, they usually can be found near mortal crypts and battlefields. On the Material Plane, they rarely have to face any threats other than the undead, clerics of Pharasma, and families of the deceased.",,1
Osyluth,"An osyluth is an unparalleled inquisitor that revels in the sadism and torture for which Hell is so well known. These devils' charge is to seek out heresies, both among mortals and among other fiends—a commandment they uphold with unwavering fervor. They spawn within the Styx-fed swamps of Hell's fifth layer, Stygia; where heresies and the souls of heretics stagnate, osyluths eventually rise. In the remote corners of that same layer of Hell, they build massive, calcified hives where they perform their vile interrogations and perfect their torturous arts upon lesser devils and petitioners alike.",Devil,9
Otyugh,"Lords of sewers, ditches, and landfllls, otyughs are filthy monstrosities that stomp about on three massive legs in search of tasty garbage and refuse. Using two barbed tentacles to grasp and tear, guided by a third with a proliferation of eyes at the end, the otyugh has perfectly adapted to life in its cramped, disgusting environment, where it uses its appendages to see into tight spaces and grasp hidden prey. Most assume that otyughs originally evolved in swamps and moved into sewers as civilization encroached on their natural habitats. True or not, they are now one of the larger predators in those dank environs. Otyughs are territorial, but they have been known to form loose collectives, even giving each other important-sounding titles like “king of offal” and “duchess of slime” to indicate their rank and station in their sludgy underworld beneath the streets. Those who run across an otyugh might be surprised to hear it speak, shouting at intruders to leave its putrid home or demanding tribute in the form of trash or other prizes of dubious nature.",,4
Ouroboros,"Ouroboros are the embodiment of eternity. Though they're prevalent as a symbol, often scrawled across the margins of alchemical tomes, few know that the beasts actually exist in the Astral Plane, where they fly through the silvery-gray void like a serpentine wheel. The ouroboros is usually depicted as a snake devouring its tail. This circular symbol is synonymous with infinity, self-sufficiency, and eternal unity. An ouroboros' form exemplifies the unfathomable concepts of forever. Its undulating body is composed of smaller serpents, who are in turn composed of ever smaller serpents, continuing indefinitely. These smaller components are recycled as the ouroboros devours its tail, existing in a perpetual, cyclical process of creation and destruction. It is a massive creature, forming a loop roughly 50 feet in diameter and weighing hundreds of tons. An ouroboros's most striking feature is its ability to almost instantly grow new flesh and heal from nearly any wound. This profound regenerative ability comes in part from an ouroboros's magical blood, which is rumored to have many miraculous properties. Through their inscrutable behavior suggests that an ouroboros is mindless, the creatures boast crude intellects and can understand speech, though they have no way to speak. They possess an instinctive, almost obsessive will to survive and defend themselves ferociously if threatened in even the slightest way. Often these perceived threats take the form of another creature simply existing within the ouroboros's line of sight, leading other Astral creatures to give these powerful beings a wide berth. The only creature an ouroboros reliably ignores is another ouroboros, but they're so incredibly rare that these meetings occur only once an age. Being entirely self-sustaining, an ouroboros rarely deigns to emerge from its consumption to engage with the Material Plane. Yet, the creature remains capable of inflicting tremendous devastation that far surpasses what it could wreak leveraging only its massive size alone. Left to its own devices, an ouroboros is likely to simply roam the Astral Plane in eon-spanning cycles, following some pattern too long and large for any mortal to even chart, much less fully comprehend. When conjured to the Material Plane, however, an ouroboros eagerly begins to initiate the cycle of renewal for which it is best known, beginning with that cycle's first step: destruction.",,21
Ovinnik,"The ovinnik is the most ferocious of house spirits, and the only one that will kill if sufficiently angered. They live in granaries, storage rooms, and sheds where food—particularly grain—is kept. Ovinniks resemble bipedal cats but bark like a dog to scare away thieves, and they often demand gifts of milk, pancakes, and dead roosters.",House Spirit,4
Owb,"Commonly called owbs, or lesser owbs by more powerful owb prophets, most of these mysterious creatures focus on manipulating caligni culture. Among calignis, an owb hides from mortals they deem beneath them—even including calignis in their charge. An owb prefers to select one caligni leader to control from the shadows, manipulating them using charisma and magic. Through coersion of such agents, owbs maintain a steady hand in the politics of the community, either blessing and breaking pacts with other creatures or acting as intermediaries and ambassadors between calignis and powerful external entities.",Owb,6
Owb Prophet,"An owb who comes into contact and is chosen by one of the Forsaken gains a fragment of that demigod's power and forges a permanent connection with it. This act transforms the owb into a larger, more powerful creature and imbues it with the power of divine transference, allowing the owb to gain followers and grant spells to them. These are owb prophets. Owb prophets may have some portion of the Forsaken's power, but they use their authority to gain more sway over calignis and other worshippers.",Owb,13
Owlbear,"With the body of a powerful brown bear and the keen senses of an owl, the owlbear is a dangerous territorial predator, fearlessly attacking any creature that strays into its domain. Those who run afoul of an owlbear hear its terrifying screech only seconds before the massive creature is upon them, ripping them apart with deadly talons and a powerful beak. Although their origin is lost to time, owlbears are assumed to be the result of a magical experiment to make a more cunning predator. According to the legend, the wizard was too successful and ended up being the flrst victim of the beast. Today, owlbears can be found around the world, with a variety of features. While the most common subspecies looks like a brown bear with the features of a great horned owl, owlbears from the frozen north might resemble polar bears mixed with snowy owls, and in temperate rain forests they might resemble black bears with the heads of barn owls. Most owlbears live solitary lives, gathering only to mate and raise cubs, which are hatched from eggs. An owlbear’s territory usually extends to around 5 miles from its lair, with clear signs of its habitat appearing with 1 mile (clawed up trees, gigantic feathers, and shredded carcasses). The lair of an owlbear rarely holds anything of value, but some adventurers have found trinkets, coins, and even jewelry in the massive pellets of undigested bones these monsters leave behind.",Owlbear,4
Pachycephalosaurus,"Pachycephalosauruses are normally peaceful herbivorous dinosaurs, but they grow much more violent during their mating season, when they fight one another to win over mates and warn away interlopers. They also defend themselves vehemently when potential predators stray too close to their herd. The pachycephalosaurus's skull has a distinctive dome-shaped crown surrounded by numerous blunt, bony horns. This feature, combined with the dinosaur's powerful, compact neck, allows it to make battering-ram-like charges capable of inflicting great damage.Some humanoid groups have successfully trained pachycephalosauruses for use as mounts, but the creatures aren't particularly well suited to the task.Pachycephalosauruses grow to a length of 15 feet and weigh 1,400 pounds.",Dinosaur,3
Painted Stag,"At a distance, painted stags appear constructed in the general shape of male deer, their flanks and antlers decorated with unique, colorful patterns. But while they retain (and indeed, augment) the blueprints Shumunue imparted upon them, painted stags reject the confines of the Carved Lady's art of mimicry. Today, their cloven, hardwood hooves can crush bone and daub paint with equal skill, and their antlers snap together in a deadly vise. Their torsos rotate freely to navigate the latticed trees of their home plane—all the better to chase prey to their inevitable death.","Elemental, Wood",9
Pairaka,"Often charming, sometimes even seductive, pairakas worm their way into mortal relationships, subtly destroying the ties of friendship and love through emotional and physical corruption and plague. Pairakas appear as beautiful, blue-skinned humanoids spotted with large rashes and boils, but they rarely take on their true forms. Instead, they adopt shapes that attract just enough attention for them to worm their way into the confidences of those they wish to torment and corrupt.",Div,7
Pakalchi,"Pakalchis strive to intensify their preys' inherent insecurity over personal and emotional bonds, playing on the threat of those relationships falling into ruin. These sahkils are among the most manipulative of their kind, pulling strings both literal and figurative on their victims over stretched-out periods of time, exhilarating in the despair and fear for as long as possible.",Sahkil,9
Palace Guard,"Every palace has its gatekeepers. Often the younger offspring of minor nobility or those from long lines of trusted staff, the palace guards are in charge of defending the royal family and their inner stronghold. Their days consist of guarding doorways, escorting nobles to various locations, and keeping those in their charge as safe as possible. The statistics below are for the lowest rank-and-file member of a small nation's palace guards; they also work well for elite guards of a lesser noble.",Courtiers,4
Palace Skelm,"Skelms crave power, and the palace skelms who stalk the halls where such power concentrates are among the most dangerous of their kind. They assume titles that allow them maximum freedom to punish or hurt others with minimal oversight: any vindictive guard captain, tyrannical viceroy, or needlessly cruel magistrate could be or become a palace skelm. They delight in the wealth and status of their positions, garbing themselves in ornate finery that reflects their station. Palace skelms ingratiate themselves with powerful individuals and gather followers by stoking fears of losing long-held or hard-earned power—especially power gained through illicit means. They undermine their enemies by encouraging competition, jealousy, and outright paranoia by way of magic and false messages. These skelms possess an unnatural ability to twist spoken words and worm their manipulative magic into others' speech, sowing confusion and hatred that might explode into violence. A political upheaval is a palace skelm's greatest fear and opportunity alike, upsetting the balance of power he has built but providing countless new opportunities to sow hatred and evil. This conflicting goal leads palace skelms to self-sabotage and undermine their own efforts more than any other skelm.",Skelm,8
Pale Sovereign,"A pale sovereign is a rare form of undead arising from a terrible curse that afflicts only those of royal blood. This curse drains its victim's vitality slowly over time, almost appearing to be a form of long-term wasting disease that no medicine can ever cure. The royal stricken by the curse sickens and wastes away until they finally perish, rising as a pale sovereign after death. The appearance of a pale sovereign is similar to their form in life, but so deathly pale and gaunt that no one who resists the mind-clouding effects of their aura would mistake them as living. The curse is known by many names across various worlds—the Wasting, Blighted Legacy, Unraveled Heraldry—but its effects are the same. After suffering the curse, members of a royal bloodline begin to die out, their descendants dwindling, until only one is left. Upon becoming the last remaining member of their line, the unfortunate royal undergoes the transformation into a pale sovereign, the power and potential of the entire line channeled into one extremely dangerous undead creature, even if the royal was relatively inconsequential and unskilled in life. The methods of inflicting the curse vary. Generally it's the result of rare occult rituals requiring a spellcaster of great power. Sometimes the curse is used to target a royal line abusing its authority, but just as often it's used by malicious forces against benevolent rulers or simply out of spite by the instigating caster. Mentioned only in whispers and veiled allusions, the curse is greatly feared by royal families who know of it. Be cautious in your dealings, the rumors say, and be careful who you spurn, for you never know what power they may wield. More rarely, a pale sovereign can arise spontaneously if the last of a royal line dies while under a curse or due to a curse, particularly if they died with tasks left unfinished or as the result of a betrayal. Any curse will do in these rare instances, and it's possible that the first pale sovereign formed in this way. Though morose and brooding, pale sovereigns are usually neutral rather than evil. They're very protective of their demesnes and whatever subjects remain to them, however, and attacking a pale sovereign's territory is the swiftest way to draw their ire. If a pale sovereign is ousted from their country's central throne, they retreat to any other holdings they might still possess and rule those. The attitudes of a pale sovereign's subjects vary. Many aren't even aware of their ruler's true nature. Among those who know the secret, some value their sovereign's protection and view them fondly. Others are uncomfortable with an undead eternal monarch, especially if the sovereign has become corrupt or bitter. A pale sovereign's territory is indelibly marked by their presence. Plants wither and blacken, struggling to grow in dry and lifeless soil. Wild animals often rise as undead unless they receive special ritual burials, leading to packs of skeletal and zombified beasts roaming the territory. Such monsters don't harm the demesne's residents but are quick to attack any intruders not bearing the sovereign's sigil. Even the living sapient inhabitants of a pale sovereign's demesne tend to have a drained, washed-out appearance, as if one step away from the grave themselves.",,16
Pale Stranger,"A pale stranger arises when a gunslinger is slain in a duel by an underhanded foe. Buried with their pistols, the corpse claws out of the grave to wreak vengeance upon their killer for cheating. Sometimes a pale stranger is created when a particularly petty gunslinger is beaten fairly and refuses to accept defeat, though such an individual must be especially self-delusional to retain the hatred necessary to spur the transformation. Whatever the circumstance, a pale stranger can wield their firearms with deadly grace and efficacy.",Revenant,10
Pegasus,"The pegasus is a winged horse prized for its capacity to serve as an aerial mount. Unfortunately for those who desire a saddle-trained pegasus, pegasi are wild creatures and do not readily accept even well-intentioned riders. Pegasi actively resist being mounted or controlled by evil creatures, attempting to buck an unwanted rider at every opportunity. A typical pegasus stands 6 feet high at the shoulder, weighs 1,500 pounds, and has a wingspan of 20 feet. Pegasi are highly intelligent beasts and have a strong sense of pride and honor. The best way to entreat a pegasus is by speaking to it with grace and offering gifts appropriate to a creature of such majesty. Prospective riders who seek the mount for a worthy cause or virtuous quest have a much easier time coaxing a pegasus into granting its favor. Regardless, a pegasus never accepts a bit or saddle, for reasons both practical (a standard horse saddle interferes with its wings) and purely egotistical. In the wild, pegasi live in small herds and establish territories on remote mountains where they are relatively safe from hunters and slavers. They mature at the same rate as horses and can even breed with other equines, though the outcome of such unions is typically a foal with the traits of its least magical parent. On rare occasions, the interbreeding of a pegasus and a unicorn may result in a winged unicorn with characteristics of both parents and an unrivaled sense of righteousness. Some pegasi carry in them the blood of a mighty and heroic ancestor. These champions of pegasus-kind dedicate their long lives to the pursuit of justice. They possess powerful supernatural abilities to aid them in this fight, such as resistance to fire and poison, immunity to petrification, and holy hoof attacks.",,3
Pelegox Cube,"Pelegoxes are beings of condensed magnetic energy that fashion bodies for themselves using their surroundings. Though a pelegox's true form is a spherical core, it pulls metal fragments of various shapes and sizes to form a polyhedral shell. Though pelegoxes might develop preferences for a particular form when at rest, they continue to look for new configurations to call their own, happiest when they can experiment with endless possibilities, even if it means dismantling other metallic entities. These piecemeal creatures move by a combination of magnetic levitation and propulsion, and when that doesn't work, by continuously piercing the ground and shifting their weight forward, looking almost like moving caltrops. Over time, the magnetic signature of a pelegox becomes visible, etched into its body in patterns of concentric lines. These unique designs make it possible to distinguish between individual pelegoxes even when their surface has eroded. Pelegoxes are quick to form relationships with others of their kind. They delight in combining their individual bodies into ever larger, more elaborate structures and patterns. As such, it is rare to find a pelegox on their own— they prefer to travel in a clustered form.",,11
Peluda,"Peludas are wild and savage dragons that favor reedy marshlands, sparsely forested bogs, and river valleys for lairs. A single peluda typically claims a stretch of waterways a few miles in length, then systematically drives off any potential rivals so that the peluda can despoil the land as they please, leaving clawed footprints on muddy riverbanks, toppling trees, and impaling half-eaten corpses on their quills as trophies left to rot. They venture beyond their domains to hunt, roasting prey with their breath or pulverizing them with their tails, burning and killing for cruel sport before slithering, sated, back to their mucky lairs. Peludas despise weakness and loathe creatures smaller than themselves, especially humanoids, whom they see as fragile and soft, good only for eating or breaking. In contrast, peludas have a massive inferiority complex regarding more impressive creatures—especially larger and stronger dragons. Peludas will try anything to become stronger, including ingesting shiny coins, gems, and jewelry, which old folk tales claim will strengthen their quills and fire breath.",,10
Penanggalan,"Penanggalans feed on the blood and entrails of the young. When their cannibalistic hunger strikes, penanggalans bathe their bodies in an alchemical substance that smells like vinegar. Once submerged in the concoction, their neck rips from side to side, allowing their head to float upward and pull out their lungs, stomach, and intestines. They leave their bodies in the vinegar bath much like a molting crab leaves its old shell, then fly off to find a victim filled with blood and guts. As grotesque as these creatures are when hungry, the penanggalan appears young and healthy while wearing their body. Such is the nature of their existence: they consorted with otherworldy beings, gaining a lifetime of youth in exchange for an evil hunger for the young. But they are not immortal. They age and die normally like the people they once were—they just retain their youthfulness throughout this existence. It can be difficult to spot a penanggalan among the populace. The faint scar ringing their neck at the point of separation can be explained away as a blemish, and it can be hidden under a flashy necklace. Meanwhile the faint, sour scent of a penanggalan's preserved body, while peculiar, is not uncommon in the sweaty tropics they frequent.",,5
Peng,"Pengs are massive avian beasts who fly effortlessly among the highest clouds. Their bright plumage makes it difficult to see their shape against an azure sky, but with patience, an onlooker might notice movement too swift to be a natural cloud. Beautiful and graceful, pengs arise from the unlikeliest of origins: the cruel kun, a hateful fish monster whose predilection for the crushing depths of the sea matches the peng's own love of the bright, open sky. After a kun sacrifices their power for a noble heart by bathing in the sun's rays, they transform into this majestic bird, which eschews violence unless they must fight to stay free. Pengs do not seek danger or thrills; they want only to make their long voyages and fly without disruption. A peng's calm and steady nature is so strong that its mere presence can quell storms and still winds. Mariners and pilots believe spotting a peng is a sign of good luck. When the sky is clear and blue and the weather gentle for an extended period, people attribute such fine conditions to the presence of an unseen peng.",,12
Penqual,"Although penquals are independent beings, each resembles a tight crowd of featureless humanoids pressed together in a mob. Penquals are most at home in large population centers, where they can don clothing to blend in. When large crowds, such as those found at festivals, are scarce, a penqual hunts at night, where a mass of revelers might draw attention but not suspicion.",Sahkil,15
Peri,"Peris are contrary, artful celestials renowned for their beauty as much as their deceptive natures. Mercurial, though never malicious, peris strive to aid mortals, though they are more likely to dispense riddles and quests than to offer aid outright.",,14
Peryton,"The peryton is an amalgam of horror, merging the features of a stag, wolf, and hawk. They love using shadows to stalk their victims before ripping out their still-beating hearts and relishing the dying pulse as they swallow them whole, so the doomed victims spends their last moments watching as their flesh is consumed. Despite perytons' animalistic appearance and brutal behavior, they are viciously cunning and as intelligent as humans. Their preferred tactic is to find a lone traveler and stalk it from on high. Most perytons are loners who loathe all other creatures. These feelings extend to other perytons as well, and adult males attack each other on sight as surely as they attack anything else. Once per year, perytons mate. The males offer up hearts they have collected from humanoids to attract females. Those that manage to secure a mate rarely survive long though, as their mating ritual is short and violent. Female perytons generally abandon their eggs after laying them, so newly hatched perytons must fend for themselves from the moment they emerge. A lone peryton typically builds a nest in a rocky overhang or an exceptionally tall and strong tree where they can observe nearby lands. Although they aren't particularly interested in wealth, perytons do like to collect small objects from their victims. During those times between hunts, they sometimes study these trophies in order to relive the memories of victims' last moments and the taste of victims' hearts.",,4
Petitioner,"When a mortal dies, their soul travels to the Boneyard in the Outer Planes where they are judged by Pharasma, the goddess of the dead. Once they have been judged, their soul is sent on to their final reward or punishment in the afterlife, and in the process is transformed into a creature known as a petitioner. This process grants the soul a new body, one whose shape is the result of the prevailing philosophical forces of the plane to which it is sent. The petitioner's memories from their life are typically wiped nearly clean, allowing them to retain only a few hazy fragments akin to half-remembered dreams. Regardless of the petitioner's size, power, or nature in life, they're a Medium creature in their afterlife. Existence as a petitioner can last for eons, but this state is not necessarily eternal. Deities, powerful denizens of the Great Beyond, or even the outer planes themselves can further change the petitioner's nature by transforming them into raw quintessence, spiritual essence that is then used to expand a plane's physical manifestation, or by transforming the petitioner into a new form of supernatural life such as a celestial, monitor, or fiend. Should a petitioner die, their body breaks down in a process akin to decay, their nature reverting back to the quintessence or elements that make up their plane. This represents the true end of a soul's journey: their associated life essence travels back to the heart of the Great Beyond to be recycled into the Positive Energy plane, fueling the creation of entirely new souls.",,1
Phalanx Of Phalanges,"Made up of hundreds of finger and toe bones, a phalanx of phalanges clatters along the ground in an eerily uniform manner.",Animated Bones,1
Phantom Beast,"The River of Souls, alongside the souls of dead sapient humanoids, also carries the spirits of monsters, animals, and other creatures. Likewise, it draws souls from the broad universe of the Material Plane, and thus human and elf souls mingle with those of far stranger creatures from untold worlds. Like any others, these far-flung spirits of strange creatures sometimes wash up on the shores of the Ethereal Plane, becoming phantoms far removed from the humanoid forms typically associated with ghosts and other undead. The phantom below is one such entity: a strange beast from a distant world, echoing their behaviors from life as they search for their own fate post-mortem. Their unfamiliar appearance might lead observers to assume they're a monstrous being and attack, finding the phantom beast entirely willing to fight back. More compassionate adventurers might instead seek to help the phantom find their way back to the River of Souls to complete their spiritual journey.",Phantom,8
